#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857517133342,85,391.8012,467.0175,879.892,-496.3944,624.3689,31.4939,993939386
857517133346,85,391.6684,466.9132,880.0659,-487.8958,296.3264,-791.6193,993939386
857517133347,85,391.2448,466.7279,879.5193,-529.7154,37.8234,-986.4276,993939329
857517133348,85,391.2484,466.9863,879.8174,-572.2488,198.4279,-821.9037,993939390
857517133351,85,390.3944,466.3393,878.532,-141.8422,369.7195,333.5958,993939489
857517133353,85,391.4751,466.7932,879.8902,-680.6605,351.5059,-751.0851,993939334
857517133354,85,391.4108,466.8761,880.0601,-661.2662,188.0658,-622.298,993939385
857517133355,85,391.4013,466.8644,879.98,-710.6472,235.0667,-552.9626,993939385
857517133356,85,390.9485,466.826,877.9212,-984.5746,13.7399,-426.0221,993939394
857517133357,85,391.5383,466.8186,880.0494,-540.3322,498.5677,-893.0132,993939385
857517133358,85,390.9433,466.9532,878.5703,-578.7586,420.3271,-1971.1565,993939395
857517133360,85,390.7425,466.336,878.647,13.0084,-857.3452,-43.2682,993939418
857517133362,85,391.3878,466.792,879.7824,-321.8209,588.6479,-677.9901,993939329
857517133363,85,391.0695,466.7704,879.5991,-717.7811,339.9532,-923.1202,993939329
857517133364,85,391.3478,466.6956,879.8325,-508.8009,348.9469,-767.968,993939329
857517133365,85,391.0307,467.127,878.777,-813.5182,384.1422,-1651.9719,993939395
857517133366,85,391.3654,467.1342,880.4043,-752.5195,343.9724,-456.2241,993939385
